artist_id,artist_name,nb_album,nb_fan,fan_band
4699,Diana Ross,69,1008678,500K-5M
4720,Milton Nascimento,65,555640,500K-5M
4726,Philip Glass,100,226231,50K-500K
4757,Bob James,63,30123,1K-50K
4762,Bruce Springsteen,95,1807504,500K-5M
4913,Phyllis Dillon,9,8826,1K-50K
4914,The Paul Butterfield Blues Band,12,21178,1K-50K
4929,Manu Dibango,41,68975,50K-500K
5004,D'Angelo,7,158870,50K-500K
5057,Miranda Lambert,53,305926,50K-500K
5091,Rick James,24,129348,50K-500K
5130,Ray Barretto,40,57383,50K-500K
5168,João Gilberto,13,335258,50K-500K
5219,Eartha Kitt,17,16848,1K-50K
5290,White Lion,18,47077,1K-50K
5348,Johnny Osbourne,84,14625,1K-50K
5356,Stanley Jordan,20,16769,1K-50K
5359,Wolfmother,20,143462,50K-500K
5414,Muddy Waters,23,1462533,500K-5M
5426,Little Walter,8,162942,50K-500K
5428,Charlie Musselwhite,38,43496,1K-50K
5484,Buckwheat Zydeco,16,1043,1K-50K
5551,Incognito,53,101576,50K-500K
5644,Selena,32,605556,500K-5M
5679,Randy Newman,57,111386,50K-500K
5732,Quiet Riot,32,156847,50K-500K
5833,Stacey Q,13,2628,1K-50K
5854,Itzhak Perlman,188,198473,50K-500K
5858,Eric Burdon,47,17238,1K-50K
5871,Toots & The Maytals,19,468044,50K-500K
5894,Young MC,28,4358,1K-50K
6053,Lonnie Liston Smith,18,5595,1K-50K
6070,Damn Yankees,2,24806,1K-50K
6121,Alexandre Pires,69,1208667,500K-5M
6180,Perry Como,45,34655,1K-50K
6205,"Crosby, Stills & Nash",11,85037,50K-500K
6243,The Pointer Sisters,26,378507,50K-500K
6292,R.L. Burnside,17,34491,1K-50K
6321,Chris Botti,21,37065,1K-50K
6404,Justice,43,808653,500K-5M
6471,The Allman Brothers Band,42,132990,50K-500K
6487,"Bobby ""Blue"" Bland",16,11985,1K-50K
6493,Fatback Band,47,2117,1K-50K
6542,Steel Pulse,32,231269,50K-500K
6707,Luis Fonsi,112,3148914,500K-5M
6729,Tego Calderón,26,831093,500K-5M
7023,Idina Menzel,53,164062,50K-500K
7054,Sister Nancy,13,20901,1K-50K
7056,Dennis Brown,12,263294,50K-500K
7065,Gregory Isaacs,52,790065,500K-5M
7076,The Ethiopians,0,13832,1K-50K
7082,John Holt,335,65208,50K-500K
7086,Alton Ellis,39,46829,1K-50K
7205,Raffi,42,7396,1K-50K
7235,The Marshall Tucker Band,38,13260,1K-50K
7359,Heart,30,124579,50K-500K
7426,Lalah Hathaway,39,25643,1K-50K
7432,Lee Ritenour,37,43817,1K-50K
7499,Dave Koz,61,76558,50K-500K
7548,Bell Biv DeVoe,11,38318,1K-50K
7552,Randy Crawford,23,57749,50K-500K
7554,Najee,55,6618,1K-50K
7555,Earl Klugh,36,34650,1K-50K
7559,Joe Sample,25,32784,1K-50K
7565,Chuck Loeb,24,7804,1K-50K
7592,The Staple Singers,29,14342,1K-50K
7613,Roberto Carlos,99,2055831,500K-5M
7740,The Bellamy Brothers,8,11843,1K-50K
7743,The Outfield,14,90004,50K-500K
7796,Little Big Town,45,136042,50K-500K
7830,Jason Aldean,42,401018,50K-500K
8026,Nightmares on Wax,83,54248,50K-500K
8306,MC Hammer,20,70086,50K-500K
8424,Skip James,4,35112,1K-50K
8584,Brass Construction,31,8183,1K-50K
8588,Bobby Byrd,8,3043,1K-50K
8631,Harold Faltermeyer,4,15943,1K-50K
8636,Delbert McClinton,40,1761,1K-50K
8661,Tito Puente,178,96399,50K-500K
8680,Buddy Guy,62,484004,50K-500K
8741,Dolly Parton,146,454975,50K-500K
8793,Pepe Aguilar,81,596885,500K-5M
8807,Gwen McCrae,30,8898,1K-50K
8846,Tevin Campbell,5,77609,50K-500K
8885,Biz Markie,7,11990,1K-50K
8923,Q-Tip,11,52912,50K-500K
8989,Big Mama Thornton,3,68053,50K-500K
8992,Koko Taylor,18,58838,50K-500K
9032,Marco Antonio Solís,51,1710000,500K-5M
9052,Amy Winehouse,22,3870412,500K-5M
9106,Love and Rockets,25,10728,1K-50K
9109,Tyrese,21,158903,50K-500K
9120,Quad City DJ's,9,1607,1K-50K
9126,The Congos,15,48475,1K-50K
9131,Delroy Wilson,3,7322,1K-50K
9132,The Mighty Diamonds,12,28210,1K-50K
9143,Orchestra Baobab,23,23194,1K-50K
9219,Disney,91,418026,50K-500K
9261,Bobby Caldwell,46,19442,1K-50K
9383,Brian Culbertson,41,31808,1K-50K
9393,Freddie Jackson,20,68360,50K-500K
